"first_name","gender"
"Arthur","male"
"H.","NA"
"N.","NA"
"La","female"
"Coal","male"
"Anthony","male"
"Hill","NA"
"Old","NA"
"De","male"
"Gregory","male"
"Forbidding","NA"
"Manti","NA"
"Grand","NA"
"Yuta","male"
"Dale","male"
"Susan","female"
"Gifford","NA"
"Jedediah","male"
"Franklin","male"
"Albert","male"
"Mancos","NA"
"Split","NA"
"Preston","male"
"Levi","male"
"Joseph","male"
"Leland","male"
"J.","NA"
"Brother","NA"
"de","male"
"O.","NA"
"North","male"
"S.","NA"
"del","male"
"Thomas","male"
"Slim","NA"
"W.","NA"
"George","male"
"County","NA"
"J.","NA"
"E.","NA"
"George","male"
"Anthony","male"
"Benjamin","male"
"George","male"
"Herbert","male"
"Ulysses","male"
"Millard","male"
"Charles","male"
"Harold","male"
"Jack","male"
"Sarah","female"
"Chimney","NA"
"Pres","NA"
"Capitol","NA"
"Angus","male"
"Green","NA"
"A","NA"
"J.","NA"
"Julien","male"
"Martha","female"
"Hubert","male"
"Richard","male"
"James","male"
"John","male"
"John","male"
"Charles","male"
"Richard","male"
"Hubert","male"
"Nebraska","NA"
"John","male"
"John","male"
"Bruce","male"
"Queen","female"
"Marriott","NA"
"Mormon","NA"
"Bernardo","male"
"Benjamin","male"
"B.","NA"
"W.","NA"
"Young","male"
"Apostle","NA"
"Howe","NA"
"D","NA"
"Amasa","NA"
"Warren","male"
"Robert","male"
"William","male"
"Francis","male"
"Martha","female"
"Elbert","male"
"John","male"
"Garland","male"
"Joseph","male"
"Samuel","male"
"Anson","male"
"Andrew","male"
"Jacob","male"
"Thomas","male"
"N.","NA"
"Isaac","male"
"D.","NA"
"Sheldon","male"
"D.","NA"
"Iron","NA"
"Lucin","NA"
"Ash","male"
"Kennecott","NA"
"Camp","NA"
"Emma","female"
"Arthur","male"
"J.","NA"
"G.","NA"
"Arriving","NA"
"T.","NA"
"Becker","male"
"Mary","female"
"Zeta","female"
"Thales","male"
"Silver","female"
"Etienne","male"
"E.","NA"
"Rio","male"
"B.","NA"
"Kaibab","NA"
"L.","NA"
"John","male"
"Charles","male"
"J.","NA"
"Hiram","male"
"Bernard","male"
"Franklin","male"
"Thales","male"
"Dudley","male"
"Etienne","male"
"George","male"
"Robert","male"
"Christopher","male"
"Martin","male"
"Ann","female"
"Kimball","male"
"White","NA"
"Truman","male"
"Salt","NA"
"Smith","male"
"Van","male"
"William","male"
"Manifest","NA"
"the","NA"
"Charles","male"
"North","male"
"William","male"
"Charles","male"
"Hyrum","male"
"Frederick","male"
"Levi","male"
"Richard","male"
"John","male"
"Jesse","male"
"James","male"
"Charles","male"
"Ash","male"
"Edward","male"
"Daniel","male"
"John","male"
"Frederick","male"
"L.","NA"
"Harold","male"
"Joe","male"
"Parley","NA"
"Alice","female"
"Al","male"
"Sacred","NA"
"Forest","male"
"Sweet","NA"
"Taylor","female"
"Otter","NA"
"the","NA"
"Frederick","male"
"High","NA"
"brick","NA"
"Elizabeth","female"
"Courthouse","NA"
"the","NA"
"Taylor","female"
"William","male"
"T.","NA"
"Cass","male"
"Joseph","male"
"Edwin","male"
"William","male"
"James","male"
"Samuel","male"
"John","male"
"Herbert","male"
"Joseph","male"
"Peter","male"
"James","male"
"Fawn","female"
"Howard","male"
"Mary","female"
"Sarah","female"
"Jedediah","male"
"Don","male"
"Lucy","female"
"Idaho","NA"
"Deseret","NA"
"Sun","female"
"Arrowhead","NA"
"Iwakura","NA"
"Aaron","male"
"Joe","male"
"Mary","female"
"O.","NA"
"united","NA"
"Mount","NA"
"Clara","female"
"Iron","NA"
"S.","NA"
"W.","NA"
"Patrick","male"
"Edward","male"
"Thomas","male"
"William","male"
"Sidney","female"
"W.","NA"
"Barry","male"
"James","male"
"David","male"
"Angus","male"
"Truman","male"
"Joseph","male"
"Nephi","male"
"Lorenzo","male"
"Lonely","NA"
"George","male"
"Stella","female"
"Alf","NA"
"Washington","male"
"Elephant","NA"
"J.","NA"
"John","male"
"minor","male"
"Monte","male"
"Kansas","female"
"Young","male"
"John","male"
"Ann","female"
"C.","NA"
"St.","NA"
"Samuel","male"
"Dugway","NA"
"Promontory","NA"
"S.","NA"
"se","NA"
"Gunnison","NA"
"G.","NA"
"Horace","male"
"George","male"
"Jesse","male"
"Kumen","NA"
"Albert","male"
"David","male"
"James","male"
"Lowry","NA"
"Frank","male"
"Chief","NA"
"Mary","female"
"Abraham","male"
"Dead","NA"
"Mary","female"
"Goose","NA"
"Philip","male"
"Clarence","male"
"Farrel","NA"
"Bishop","male"
"Julius","male"
"Van","male"
"R.","NA"
"Kate","female"
"C.","NA"
"Chief","NA"
"West","male"
"Ogden","NA"
"Felix","male"
"Mormon","NA"
"W.","NA"
"Herbert","male"
"William","male"
"Lansford","NA"
"William","male"
"Jefferson","male"
"Abe","male"
"Herbert","male"
"Sarah","female"
"Butch","male"
"Charles","male"
"Louis","male"
"John","male"
"John","male"
"Jules","male"
"William","male"
"Evan","male"
"Navajo","NA"
"Pres","NA"
"Jack","male"
"P.","NA"
"Warren","male"
"Grand","NA"
"Navajo","NA"
"John","male"
"William","male"
"Chaplain","NA"
"Mardi","female"
"E.","NA"
"Uintah","NA"
"Battle","NA"
"Walter","male"
"Hales","NA"
"F.","NA"
"Superintendent","NA"
"Saint","male"
"Historical","NA"
"His","NA"
"F.","NA"
"H.","NA"
"Herbert","male"
"Strawberry","NA"
"Hobble","NA"
"David","male"
"John","male"
"Thomas","male"
"Robert","male"
"Robert","male"
"E.","NA"
"Henry","male"
"Sam","male"
"George","male"
"A.","NA"
"Andrew","male"
"Henry","male"
"William","male"
"Emma","female"
"Joseph","male"
"Norman","male"
"Cyrus","male"
"Joel","male"
"John","male"
"Daniel","male"
"Comb","NA"
"Zeke","male"
"Newell","NA"
"Paul","male"
"the","NA"
"Desert","NA"
"Local","NA"
"Cliven","NA"
"Utah","male"
"Saint","male"
"Old","NA"
"Lehi","male"
"Matthias","male"
"James","male"
"J.","NA"
"F.","NA"
"Everett","male"
"George","male"
"Enola","female"
"the","NA"
"George","male"
"David","male"
"Bluff","NA"
"H.","NA"
"Salt","NA"
"Reuben","male"
"Kanab","NA"
"R.","NA"
"Little","male"
"Francis","male"
"Christian","male"
"F.","NA"
"St.","NA"
"Powell","male"
"E.","NA"
"Robert","male"
"D.","NA"
"Truman","male"
"H.","NA"
"Yellow","NA"
"Seymour","NA"
"Bernardo","male"
"Starley","NA"
"Edward","male"
"Thomas","male"
"Everett","male"
"James","male"
"Sidney","female"
"Joel","male"
"William","male"
"Isaac","male"
"Benjamin","male"
"Jack","male"
"Austin","male"
"Joseph","male"
"Harry","male"
"F.","NA"
"Parley","NA"
"Saint","male"
"Zina","female"
"Priddy","NA"
"Bernardo","male"
"John","male"
"Mary","female"
"Truman","male"
"Clem","male"
"Currant","NA"
"Black","NA"
"Gomer","NA"
"Sverre","NA"
"Wah","NA"
"Dorothea","female"
"William","male"
"Claude","male"
"Fray","NA"
"Amanda","female"
"P.","NA"
"Ogden","NA"
"Corey","male"
"A.","NA"
"JOHN","male"
"Silas","male"
"De","male"
"Joseph","male"
"Medicine","NA"
"Dove","female"
"Book","NA"
"Brigham","male"
"Sandwich","NA"
"Escalante","NA"
"Abraham","male"
"Charles","male"
"Arthur","male"
"Dwight","male"
"Patrick","male"
"C.","NA"
"H.","NA"
"Fray","NA"
"Mahonri","male"
"James","male"
"Seymour","NA"
"Edward","male"
"O.","NA"
"Jedediah","male"
"James","male"
"William","male"
"John","male"
"Frederick","male"
"Silas","male"
"Jesse","male"
"William","male"
"Bear","male"
"Howard","male"
"Samuel","male"
"Virginia","female"
"Peter","male"
"John","male"
"Robert","male"
"Walter","male"
"Fathers","NA"
"the","NA"
"Andrew","male"
"Bishop","male"
"Amasa","NA"
"Amy","female"
"R.","NA"
"Escalante","NA"
"George","male"
"Jane","female"
"Cove","NA"
"L.","NA"
"Stake","NA"
"Soldier","NA"
"Van","male"
"Northwestern","NA"
"Iron","NA"
"Faye","female"
"Juvenile","NA"
"W.","NA"
"John","male"
"Bark","NA"
"green","NA"
"J.","NA"
"Jicarilla","NA"
"CHARLES","male"
"Deseret","NA"
"Benjamin","male"
"Bishop","male"
"Mount","NA"
"Laguna","NA"
"Postmaster","NA"
"Lake","male"
"A","NA"
"Sarah","female"
"James","male"
"John","male"
"Horace","male"
"John","male"
"Orlando","male"
"S.","NA"
"George","male"
"Charles","male"
"Isaac","male"
"William","male"
"Zerubbabel","NA"
"Thomas","male"
"Ellis","male"
"John","male"
"John","male"
"Almon","NA"
"William","male"
"Henry","male"
"Jack","male"
"Feramorz","NA"
"Thomas","male"
"Dan","male"
"Hiram","male"
"John","male"
"William","male"
"Elbert","male"
"William","male"
"C.","NA"
"Oliver","male"
"Henry","male"
"Joseph","male"
"Hector","male"
"a.","NA"
"James","male"
"Avard","NA"
"Michel","male"
"Navajo","NA"
"James","male"
"the","NA"
"James","male"
"John","male"
"Tamson","NA"
"John","male"
"Navajo","NA"
"Ralph","male"
"John","male"
"Mary","female"
"Juan","male"
"Jesse","male"
"Indian","NA"
"Alma","female"
"Van","male"
"Van","male"
"Charles","male"
"J.","NA"
"Elias","male"
"Wilson","male"
"Preuss","NA"
"Marion","female"
"Samuel","male"
"Edwin","male"
"William","male"
"Mormon","NA"
"Day","female"
"Goodyear","NA"
"Safety","NA"
"Thomas","male"
"Gobo","NA"
"G.","NA"
"Joe","male"
"Keg","NA"
"R.","NA"
"George","male"
"Oliver","male"
"Amy","female"
"Miss","NA"
"H.","NA"
"THOMAS","male"
"Utah","male"
"Julia","female"
"Vera","female"
"Buckskin","NA"
"artesian","NA"
"Walter","male"
"Vermilion","NA"
"Almon","NA"
"Louisiana","NA"
"C.","NA"
"Weber","NA"
"Don","male"
"Company","NA"
"Uintah","NA"
"Santa","female"
"Caleb","male"
"Elias","male"
"Daniel","male"
"Henry","male"
"William","male"
"A.","NA"
"Almon","NA"
"Charles","male"
"Franklin","male"
"Brigham","male"
"Joseph","male"
"Horace","male"
"Charles","male"
"George","male"
"Zane","male"
"F.","NA"
"John","male"
"Robert","male"
"David","male"
"William","male"
"Seth","male"
"George","male"
"Thomas","male"
"Jesse","male"
"Ernest","male"
"Stephen","male"
"John","male"
"Maude","female"
"Nellie","female"
"Eugene","male"
"Samuel","male"
"Ezra","male"
"Nels","male"
"Thomas","male"
"Caleb","male"
"Isaac","male"
"Charles","male"
"Charles","male"
"the","NA"
"David","male"
"Samuel","male"
"Willard","male"
"O.","NA"
"J.","NA"
"Everett","male"
"Isaac","male"
"William","male"
"John","male"
"Jefferson","male"
"Allen","male"
"J.","NA"
"John","male"
"Dakota","male"
"Henry","male"
"O.","NA"
"John","male"
"Art","male"
"John","male"
"Chicken","NA"
"Jack","male"
"Cajon","NA"
"Ivie","female"
"Karl","male"
"Joaquin","male"
"Elizabeth","female"
"Carr","NA"
"Felix","male"
"Monsignor","NA"
"Muley","NA"
"Emma","female"
"Joe","male"
"Red","NA"
"William","male"
"John","male"
"William","male"
"prophet","male"
"La","female"
"Laguna","NA"
"T.","NA"
"Shall","NA"
"Ogden","NA"
"Rex","male"
"Utah","male"
"Goshen","NA"
"disc","NA"
"JOHN","male"
"Howard","male"
"Chicago","NA"
"Robert","male"
"Elna","NA"
"Obadiah","male"
"Defiance","NA"
"Arthur","male"
"Old","NA"
"Reed","male"
"O.","NA"
"Ward","male"
"H.","NA"
"A.","NA"
"Muddy","NA"
"D.","NA"
"Paul","male"
"Little","male"
"Mary","female"
"J.","NA"
"Green","NA"
"Ogden","NA"
"R.","NA"
"Holy","NA"
"Mormon","NA"
"Ontario","male"
"Daniel","male"
"Thomas","male"
"Chester","male"
"John","male"
"Eli","male"
"Ellis","male"
"George","male"
"Herbert","male"
"Joseph","male"
"W.","NA"
"J.","NA"
"Randolph","male"
"Calvin","male"
"Arthur","male"
"Jesse","male"
"Jacob","male"
"Frank","male"
"George","male"
"Gary","male"
"Vardis","NA"
"Rulon","male"
"Alexander","male"
"George","male"
"Andrew","male"
"Alfred","male"
"Ben","male"
"Andrew","male"
"Bill","male"
"James","male"
"Wilford","male"
"May","female"
"Cyrus","male"
"Manuel","male"
"Edgar","male"
"Jed","male"
"Cottonwood","NA"
"Sulphur","NA"
"Abram","male"
"Joseph","male"
"Cove","NA"
"Stanley","male"
"Fish","NA"
"John","male"
"Stylian","NA"
"Don","male"
"Stanley","male"
"George","male"
"Harriet","female"
"Sam","male"
"Frank","male"
"Ruth","female"
"Thomas","male"
"Danger","NA"
"Bill","male"
"Howard","male"
"Thomas","male"
"Abiel","male"
"W.","NA"
"Dred","NA"
"Gunnison","NA"
"David","male"
"Warren","male"
"Bishop","male"
"Walter","male"
"Alice","female"
"Ann","female"
"the","NA"
"W.","NA"
"Zina","female"
"Lieutenant","NA"
"Gregory","male"
"J.","NA"
"Annie","female"
"Ephraim","male"
"Robert","male"
"Intercourse","NA"
"Left","NA"
"St","NA"
"Laramie","male"
"Training","NA"
"Red","NA"
"Farres","NA"
"Rio","male"
"T.","NA"
"Cabeza","NA"
"Arroyo","NA"
"Seneca","female"
"Captain","NA"
"Helen","female"
"Uintah","NA"
"Fountain","NA"
"Michael","male"
"R.","NA"
"Little","male"
"Angelina","female"
"LeRoy","male"
"Washington","male"
"Isaac","male"
"Forest","male"
"E.","NA"
"Susan","female"
"Walter","male"
"K.","NA"
"John","male"
"Monsignor","NA"
"Rulon","male"
"Francis","male"
"Mark","male"
"Alice","female"
"von","male"
"Nutt","NA"
"Tex","NA"
"John","male"
"Cane","NA"
"Mary","female"
"Muddy","NA"
"Platte","NA"
"Walter","male"
"Aunt","NA"
"Hannah","female"
"Edwin","male"
"Abajo","NA"
"J.","NA"
"the","NA"
"Thomas","male"
"Rocky","male"
"Henry","male"
"Rio","male"
"Left","NA"
"Insane","NA"
"S.","NA"
"JOHN","male"
"Henry","male"
"Nauvoo","NA"
"Abner","male"
"Beehive","NA"
"H.","NA"
"A.","NA"
"John","male"
"Orrin","male"
"Charles","male"
"Kate","female"
"Helen","female"
"Richard","male"
"Frederick","male"
"James","male"
"John","male"
"Gustive","NA"
"LeRoy","male"
"Grenville","NA"
"Samuel","male"
"Jacob","male"
"Everett","male"
"George","male"
"Jacob","male"
"William","male"
"Josiah","male"
"Jay","male"
"William","male"
"Eli","male"
"Ellis","male"
"Milton","male"
"Edward","male"
"Robert","male"
"Henry","male"
"Aaron","male"
"Stephen","male"
"George","male"
"William","male"
"Platte","NA"
"Arizona","female"
"Mary","female"
"William","male"
"Louisa","female"
"John","male"
"Gorge","male"
"William","male"
"J.","NA"
"Uintah","NA"
"Bishop","male"
"Robert","male"
"George","male"
"Romania","NA"
"John","male"
"Samuel","male"
"Charles","male"
"Anthony","male"
"Harold","male"
"Don","male"
"John","male"
"John","male"
"Silas","male"
"Lorenzo","male"
"W.","NA"
"Ben","male"
"Washington","male"
"David","male"
"Eugene","male"
"Joseph","male"
"Earl","male"
"Israel","male"
"the","NA"
"B.","NA"
"Richard","male"
"P.","NA"
"James","male"
"Thomas","male"
"Charles","male"
"Ralph","male"
"Harvey","male"
"Bishop","male"
"Geographical","NA"
"Ebenezer","male"
"Warren","male"
"Strawberry","NA"
"Isabel","female"
"Bates","NA"
"Snow","female"
"Karl","male"
"Mary","female"
"Apostle","NA"
"Alice","female"
"Leland","male"
"Mary","female"
"Howard","male"
"Belle","female"
"Sara","female"
"La","female"
"Emma","female"
"Fish","NA"
"Annie","female"
"Hyrum","male"
"barren","NA"
"George","male"
"Warren","male"
"Yuma","male"
"Billy","male"
"Pruess","NA"
"Ray","male"
"Moroni","male"
"Frank","male"
"D.","NA"
"Zeese","NA"
"Brevet","NA"
"Ed","male"
"Weber","NA"
"Newlands","NA"
"John","male"
"Patsey","NA"
"Reuben","male"
"Joseph","male"
"Bulletin","NA"
"Amos","male"
"Mud","NA"
"Samuel","male"
"W.","NA"
"Little","male"
"Oquirrh","NA"
"Keg","NA"
"Christian","male"
"Willie","male"
"Saint","male"
"Nathaniel","male"
"wagon","NA"
"Relief","NA"
"John","male"
"Mormon","NA"
"Guadalupe","female"
"Chief","NA"
"Mattie","female"
"Steamboat","NA"
"U.","NA"
"rode","NA"
"Mountain","NA"
"Malad","NA"
"Catholic","NA"
"Washington","male"
"County","NA"
"Levi","male"
"Rutherford","NA"
"John","male"
"Mauricio","male"
"Lagos","NA"
"Thomas","male"
"Emily","female"
"Milton","male"
"Richard","male"
"Lyndon","male"
"Fred","male"
"Robert","male"
"James","male"
"Edward","male"
"James","male"
"Schuyler","male"
"Davis","male"
"James","male"
"Richard","male"
"W.","NA"
"Don","male"
"W.","NA"
"Charles","male"
"Leonidas","male"
"Kate","female"
"Francis","male"
"George","male"
"Herbert","male"
"J.","NA"
"John","male"
"Charles","male"
"Daniel","male"
"O.","NA"
"Albert","male"
"Nathaniel","male"
"Ellen","female"
"William","male"
"A.","NA"
"Frank","male"
"Stewart","male"
"Albert","male"
"Dean","male"
"Levi","male"
"Walla","NA"
"James","male"
"Douglas","male"
"Apostle","NA"
"Chapman","male"
"Samuel","male"
"George","male"
"Charles","male"
"Thomas","male"
"Dimick","NA"
"J.","NA"
"Apostle","NA"
"Frederick","male"
"Arthur","male"
"Charles","male"
"Lucy","female"
"James","male"
"Henry","male"
"Warren","male"
"S.","NA"
"E.","NA"
"Ute","NA"
"James","male"
"Spencer","male"
"William","male"
"Harold","male"
"Lorenzo","male"
"Lula","female"
"George","male"
"Isaac","male"
"Old","NA"
"William","male"
"Saint","male"
"Thomas","male"
"Newel","NA"
"Frank","male"
"William","male"
"Elijah","male"
"Nueva","NA"
"Joseph","male"
"Hannah","female"
"Cleon","male"
"Bill","male"
"Camp","NA"
"Orson","male"
"Owen","male"
"Delia","female"
"Grove","NA"
"Jordan","male"
"George","male"
"Thomas","male"
"Antonio","male"
"Utah","male"
"Neil","male"
"John","male"
"William","male"
"Franklin","male"
"Virginia","female"
"John","male"
"Patty","female"
"Teancum","male"
"E.","NA"
"Alexander","male"
"John","male"
"Francisco","male"
"Andres","male"
"Devils","NA"
"Browns","NA"
"Uintah","NA"
"Edward","male"
"Colonel","NA"
"Uintah","NA"
"Ancestral","NA"
"Davis","male"
"Ammon","male"
"Colorado","NA"
"Zera","NA"
"Big","NA"
"Chief","NA"
"Twin","NA"
"Bishop","male"
"John","male"
"Uncle","NA"
"Miss","NA"
"Fiftymile","NA"
"Montgomery","male"
"George","male"
"William","male"
"Joseph","male"
"Belva","NA"
"Lehi","male"
"Juan","male"
"William","male"
"John","male"
"George","male"
"Sherlock","NA"
"Promontory","NA"
"Jordan","male"
"Henry","male"
"Kaiser","male"
"Endangered","NA"
"Richfield","NA"
"Utah","male"
"Leigh","female"
"N.","NA"
"cayenne","female"
"Art","male"
"Brig","NA"
"National","NA"
"Duchesne","NA"
"Thomas","male"
"Richard","male"
"J.","NA"
"Butler","NA"
"Bishop","male"
"Mojave","NA"
"Maria","female"
"Nathan","male"
"Apostle","NA"
"Pioneer","NA"
"Jane","female"
"J.","NA"
"Edmund","male"
"Dreary","NA"
"Orson","male"
"Alvo","NA"
"Frank","male"
"William","male"
"Davis","male"
"De","male"
"D.","NA"
"David","male"
"R.","NA"
"Mary","female"
"Hopi","NA"
"Truman","male"
"Mother","NA"
"Marsena","NA"
"Mary","female"
"Navajo","NA"
"B.","NA"
"Flour","NA"
"Van","male"
"Joseph","male"
"von","male"
"Gen","male"
"C.","NA"
"m.","NA"
"Samuel","male"
"Hugh","male"
"Carl","male"
"Frank","male"
"Wallace","male"
"Joseph","male"
"C.","NA"
"Joe","male"
"A.","NA"
"J.","NA"
"Spencer","male"
"Heber","male"
"R.","NA"
"William","male"
"Collis","NA"
"David","male"
"Nathan","male"
"James","male"
"Clarence","male"
"Patrick","male"
"James","male"
"Jack","male"
"Joseph","male"
"William","male"
"Nathaniel","male"
"Reva","female"
"W.","NA"
"Earl","male"
"Jesse","male"
"George","male"
"Nicholas","male"
"Clarence","male"
"John","male"
"Henry","male"
"Austin","male"
"Joseph","male"
"J.","NA"
"William","male"
"Milton","male"
"Harold","male"
"Jim","male"
"Harold","male"
"Bishop","male"
"Noel","male"
"Queen","female"
"Nathan","male"
"William","male"
"Joseph","male"
"Andrew","male"
"Charles","male"
"Rufus","male"
"Sylvester","male"
"William","male"
"Jens","male"
"William","male"
"Ellsworth","male"
"Lorenzo","male"
"John","male"
"James","male"
"Edwin","male"
"Zachary","male"
"Frank","male"
"William","male"
"Joseph","male"
"Mark","male"
"John","male"
"Thomas","male"
"Juan","male"
"John","male"
"Charles","male"
"Elizabeth","female"
"Randall","male"
"Oliver","male"
"Henry","male"
"Richard","male"
"Chief","NA"
"Emma","female"
"Ken","male"
"Johnny","male"
"Charles","male"
"Thomas","male"
"Nelson","male"
"R.","NA"
"Will","male"
"James","male"
"Orson","male"
"William","male"
"John","male"
"Emma","female"
"J.","NA"
"Mary","female"
"Sam","male"
"F.","NA"
"Brush","NA"
"James","male"
"Pete","male"
"Michael","male"
"alfalfa","NA"
"Thomas","male"
"William","male"
"Ab","male"
"C.","NA"
"William","male"
"Charles","male"
"Johnson","male"
"Joseph","male"
"Joseph","male"
"Otis","male"
"Joseph","male"
"jack","male"
"Bathsheba","NA"
"Warren","male"
"Calvin","male"
"George","male"
"Desert","NA"
"Hill","NA"
"Henry","male"
"Charles","male"
"C.","NA"
"Devils","NA"
"Redlum","NA"
"Jose","male"
"Little","male"
"Andres","male"
"the","NA"
"Mary","female"
"Louise","female"
"Elwood","male"
"Fawn","female"
"Donald","male"
"Charlie","male"
"Brian","male"
"Jackson","male"
"Mary","female"
"alfalfa","NA"
"Mary","female"
"Edward","male"
"Mother","NA"
"George","male"
"Jim","male"
"Oscar","male"
"S.","NA"
"Dixie","female"
"James","male"
"Warren","male"
"George","male"
"Episcopal","NA"
"Amy","female"
"Utah","male"
"Lars","male"
"Ogden","NA"
"N.","NA"
"Navajo","NA"
"Rama","female"
"Cliff","male"
"George","male"
"Fred","male"
"Robert","male"
"E.","NA"
"Byron","male"
"William","male"
"Uncle","NA"
"North","male"
"Thomas","male"
"William","male"
"John","male"
"Utah","male"
"A.","NA"
"Mary","female"
"A.","NA"
"John","male"
"Sarah","female"
"William","male"
"Charles","male"
"Shadrach","male"
"Leland","male"
"Kanab","NA"
"Warren","male"
"W.","NA"
"George","male"
"Cotton","male"
"Comstock","NA"
"James","male"
"Lewis","male"
"John","male"
"Cedar","female"
"Stan","male"
"Angel","male"
"Waldemer","NA"
"Craig","male"
"Rasmussen","NA"
"Christine","female"
"Historic","NA"
"Hardison","NA"
"Philomathean","NA"
